song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,percent_hums,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,rank
Speedin' Bullet 2 Heaven,6,223,oh,2015-12-01,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,65127,2375547,0.026200873362445413,https://genius.com/Kid-cudi-speedin-bullet-2-heaven-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,8
Tim Westwood Freestyle,25,935,oh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,18389,60962,0.026041666666666668,https://genius.com/Kid-cudi-tim-westwood-freestyle-lyrics,17,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,14
Man in the Night,11,418,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,36262,2375534,0.02564102564102564,https://genius.com/Kid-cudi-man-in-the-night-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,9
My World (Ft. Jeff Bhasker),12,459,ohh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,139139,2333,0.025477707006369428,https://genius.com/Kid-cudi-my-world-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,4
Maybe,10,385,ahh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,28201,50124,0.02531645569620253,https://genius.com/Kid-cudi-maybe-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,8
Follow Me,4,155,oh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,15684,6223,0.025157232704402517,https://genius.com/Kid-cudi-follow-me-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,15
Cuditastic (Freestyle) (Ft. Peter Rosenberg),15,587,ay,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,2893188,0.024916943521594685,https://genius.com/Kid-cudi-cuditastic-freestyle-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,16
Stars In The Sky,8,315,hmm,2022-03-25,NA,https://images.genius.com/fb2da8633dd9a8ccf404c29d41fbd25d.910x910x1.webp,27289,7827456,0.02476780185758514,https://genius.com/Kid-cudi-stars-in-the-sky-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,17
Darkness Be Rising,8,316,uh,NA,CUDDER IS BACK,https://images.genius.com/a52d76dd22add9a72967a8715d52f150.500x500x1.jpg,13232,90897,0.024691358024691357,https://genius.com/Kid-cudi-darkness-be-rising-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,923081,https://genius.com/albums/Kid-cudi/Cudder-is-back,2
Internal Bleeding,6,238,hey,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/f93aafaafd092a8bb9b2224aea7385f6.670x670x1.jpg,75039,369629,0.02459016393442623,https://genius.com/Kid-cudi-internal-bleeding-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,4
Interlude,3,126,yo,NA,Rap Hard,https://images.genius.com/0aab2c3a8fe65902dd9bea31a7460a32.706x706x1.png,NA,2988832,0.023255813953488372,https://genius.com/Kid-cudi-interlude-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,13681,https://genius.com/albums/Kid-cudi/Rap-hard,2
Heaven at Nite,6,256,oh,2008-07-17,A Kid Named Cudi,https://images.genius.com/1a451a8afb940b34adb9ad01bc7527d6.513x513x1.jpg,67229,4052,0.022900763358778626,https://genius.com/Kid-cudi-heaven-at-nite-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,6
Wild,7,300,uh,NA,KC9*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6830116,0.02280130293159609,https://genius.com/Kid-cudi-wild-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,819200,https://genius.com/albums/Kid-cudi/Kc9,5
Damaged,9,398,hey,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,104556,6250766,0.022113022113022112,https://genius.com/Kid-cudi-damaged-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,12
STARZ (Stars In The Sky Original) (Ft. Lil Nas X),6,272,hmm,NA,NA,https://images.genius.com/08cd45397183fca4b67fb319a3f1f393.997x1000x1.jpg,NA,7941776,0.02158273381294964,https://genius.com/Kid-cudi-starz-stars-in-the-sky-original-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,18
Dangerous (Ft. Ricky Hil),11,500,uh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,51851,0.021526418786692758,https://genius.com/Kid-cudi-dangerous-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,19
Maybe So,4,182,hm,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,NA,8392245,0.021505376344086023,https://genius.com/Kid-cudi-maybe-so-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,9
Worth,8,366,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,19318,2375556,0.0213903743315508,https://genius.com/Kid-cudi-worth-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,10
The Ruler and the Killer,8,368,hey,2012-03-16,The Hunger Games: Songs from District 12 and Beyond,https://images.genius.com/55b681aeebba8498f46a6d250decf0e8.1000x1000x1.jpg,7275,68303,0.02127659574468085,https://genius.com/Kid-cudi-the-ruler-and-the-killer-lyrics,11,68,Kid Cudi,https://genius.com/artists/Kid-cudi,87979,https://genius.com/albums/Various-artists/The-hunger-games-songs-from-district-12-and-beyond,1
My Drug,4,190,ah,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,NA,8416372,0.020618556701030927,https://genius.com/Kid-cudi-my-drug-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,10
Ashin' Kusher,11,531,hey,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,120056,2264,0.02029520295202952,https://genius.com/Kid-cudi-ashin-kusher-lyrics,8,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,9
Frequency,6,303,hmm,2016-03-25,"Passion, Pain & Demon Slayin’",https://images.genius.com/23aff3418ecc0a9b60d36169beaf0a00.1000x1000x1.jpg,221562,2445357,0.019417475728155338,https://genius.com/Kid-cudi-frequency-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,16
Come Around,10,506,oh,2009-01-01,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,8366,58148,0.01937984496124031,https://genius.com/Kid-cudi-come-around-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,20
Anomaly,2,107,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,8313,2375549,0.01834862385321101,https://genius.com/Kid-cudi-anomaly-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,11
Soundtrack 2 My Life,10,568,huh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,890784,402,0.01730103806228374,https://genius.com/Kid-cudi-soundtrack-2-my-life-lyrics,28,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,5
Man on the Moon (The Anthem),8,455,hey,2008-07-17,A Kid Named Cudi,https://images.genius.com/1a451a8afb940b34adb9ad01bc7527d6.513x513x1.jpg,428559,1652,0.017278617710583154,https://genius.com/Kid-cudi-man-on-the-moon-the-anthem-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,7
Hyyerr (Ft. King Chip),9,539,oh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,134762,2329,0.016423357664233577,https://genius.com/Kid-cudi-hyyerr-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,6
